"Lokasyon","Array ID","Host Name","OS","Provisioned (TB)","Host WWN","Masking View","Storage Group"
"Istanbul","000220201230","ig_fbprdesx89","VMware ESX","0","100070b7e420f537 | 100070b7e420f569","mv_fbprdesx_gk","sg_fbprdesx_gk"
"Istanbul","000220201230","ig_fbprdesx52","VMware ESX","0","10009440c9d00f42 | 10009440c9d00f57","mv_fbprdesx_gk","sg_fbprdesx_gk"
"Istanbul","000220201230","ig_genprdrac02","Unknown","205.78","2100f4c7aa0504aa | 2100f4c7aa0504ab | 2100f4c7aa050528 | 2100f4c7aa050529 | 2100f4c7aa050566 | 2100f4c7aa050567 | 2100f4c7aa05d27a | 2100f4c7aa05d27b","mv_genprdrac02; mv_genprdrac_asm_01; mv_genprdrac_asm_02","sg_genprdrac02; sg_genprdrac_asm_01; sg_genprdrac_asm_02"
"Istanbul","000220201230","ig_fbprdesx53","VMware ESX","0","10009440c9d4000c | 10009440c9d4001e","mv_fbprdesx_gk","sg_fbprdesx_gk"
"Istanbul","000220201230","cbprdrac03_ig1","AIX","51.82","100070b7e413cd3c | 100070b7e413cd3d | 100070b7e413cf75 | 100070b7e413cf87 | 100070b7e413cf88 | 100070b7e413cf8b | 100070b7e413cf8d | 100070b7e413cf8e","mv_cbprdrac_1_hg1_pg1; mv_cbprdrac_2_hg1_pg2; mv_cbprdrac_os_shared","sg_cbprdrac_1; sg_cbprdrac_2; sg_cbprdrac_os_shared"
"Istanbul","000220201230","cbprdrac04_ig2","AIX","50.19","2100f4c7aa050482 | 2100f4c7aa0504b9 | 2100f4c7aa050500 | 2100f4c7aa050501 | 2100f4c7aa051380 | 2100f4c7aa05d2f7 | 2100f4c7aa05d3e2 | 2100f4c7aa05d3e3","mv_cbprdrac_3_hg2_pg3; mv_cbprdrac_4_hg2_pg4","sg_cbprdrac_3; sg_cbprdrac_4"
"Istanbul","000220201230","ig_cbtstrac01","Unknown","0.01","2100f4c7aa05116a | 2100f4c7aa05116b | 2100f4c7aa052306 | 2100f4c7aa052307","mv_cbtstrac_vote","sg_cbtstrac_vote"
"Istanbul","000220201230","cbprdrac01_ig1","AIX","54.39","210034800dee0de3 | 2100f4c7aa04acb4 | 2100f4c7aa04acb5 | 2100f4c7aa04acdc | 2100f4c7aa04acdd | 2100f4c7aa04acf8 | 2100f4c7aa04acf9 | 2100f4c7aa04ad0e","mv_cbprdrac01_os; mv_cbprdrac_1_hg1_pg1; mv_cbprdrac_2_hg1_pg2; mv_cbprdrac_os_shared","sg_cbprdrac01_os; sg_cbprdrac_1; sg_cbprdrac_2; sg_cbprdrac_os_shared"
"Istanbul","000220201230","ig_fbprdesx85","VMware ESX","0","100070b7e42414d2 | 100070b7e4241525","mv_fbprdesx_gk","sg_fbprdesx_gk"
"Istanbul","000220201230","ig_cbsimrac01","VMware ESX","0.29","c0507608d4e800b0 | c0507608d4e800b1 | c0507608d4e800b2 | c0507608d4e800b3 | c0507608d4e800b4 | c0507608d4e800b5 | c0507608d4e800b6 | c0507608d4e800b7 | c0507608d4e800b8 | c0507608d4e800b9 | c0507608d4e800ba | c0507608d4e800bb | c0507608d4e800bc | c0507608d4e800bd | c0507608d4e800be | c0507608d4e800bf","mv_cbsimrac01","sg_cbsimrac01"
"Istanbul","000220201230","ig_fbprdesx43","VMware ESX","0","10009440c9d07cd8 | 10009440c9d09c24","mv_fbprdesx_gk","sg_fbprdesx_gk"
"Istanbul","000220201230","ig_genprdrac01","Unknown","205.78","2100f4c7aa04ac76 | 2100f4c7aa04ac77 | 2100f4c7aa04ac80 | 2100f4c7aa04ac81 | 2100f4c7aa04aca0 | 2100f4c7aa04aca1 | 2100f4c7aa04acb0 | 2100f4c7aa04acb1","mv_genprdrac01; mv_genprdrac_asm_01; mv_genprdrac_asm_02","sg_genprdrac01; sg_genprdrac_asm_01; sg_genprdrac_asm_02"
"Istanbul","000220201230","ig_cbtstrac04","VMware ESX","0.01","c05076010f26014e | c05076010f26014f | c05076010f260150 | c05076010f260151 | c05076010f260152 | c05076010f260153 | c05076010f260154 | c05076010f260155 | c050760435a00692 | c050760435a00693 | c050760435a00694 | c050760435a00695 | c050760435a00696 | c050760435a00697 | c050760435a00698 | c050760435a00699","mv_cbtstrac_vote","sg_cbtstrac_vote"
"Istanbul","000220201230","ig_fbprdesx88","VMware ESX","0","100070b7e420f4ee | 100070b7e42411e4","mv_fbprdesx_gk","sg_fbprdesx_gk"
"Istanbul","000220201230","ig_cbsimrac04","VMware ESX","0.29","c0507608d4e800e0 | c0507608d4e800e1 | c0507608d4e800e2 | c0507608d4e800e3 | c0507608d4e800e4 | c0507608d4e800e5 | c0507608d4e800e6 | c0507608d4e800e7 | c0507608d4e800e8 | c0507608d4e800e9 | c0507608d4e800ea | c0507608d4e800eb | c0507608d4e800ec | c0507608d4e800ed | c0507608d4e800ee | c0507608d4e800ef","mv_cbsimrac04","sg_cbsimrac04"
"Istanbul","000220201230","ig_cbtstrac03","VMware ESX","0.01","c05076010f5d016a | c05076010f5d016b | c05076010f5d016c | c05076010f5d016d | c05076010f5d016e | c05076010f5d016f | c05076010f5d0170 | c05076010f5d0171 | c05076010f5d01ae | c05076010f5d01af | c05076010f5d01b0 | c05076010f5d01b1 | c05076010f5d01b2 | c05076010f5d01b3 | c05076010f5d01b4 | c05076010f5d01b5","mv_cbtstrac_vote","sg_cbtstrac_vote"
"Istanbul","000220201230","cbprdrac03_ig2","AIX","52.76","100070b7e413c7d5 | 100070b7e413c7d6 | 100070b7e413c900 | 100070b7e413c901 | 100070b7e413cf76 | 100070b7e413cf8a | 100070b7e413cfa2 | 100070b7e413cfa3","mv_cbprdrac03_os; mv_cbprdrac_3_hg2_pg3; mv_cbprdrac_4_hg2_pg4","sg_cbprdrac03_os; sg_cbprdrac_3; sg_cbprdrac_4"
"Istanbul","000220201231","cbprdrac02_ig1","AIX","51.82","100000620b3e2206 | 100000620b3e2207 | 100070b7e413c64b | 100070b7e413c654 | 100070b7e413c655 | 100070b7e413cf97 | 100070b7e413cfdb | 100070b7e413cfdc","mv_cbprdrac_1_hg1_pg1; mv_cbprdrac_2_hg1_pg2; mv_cbprdrac_os_shared","sg_cbprdrac_1; sg_cbprdrac_2; sg_cbprdrac_os_shared"
"Istanbul","000220201231","cbprdrac03_ig2","AIX","51.76","100070b7e413c7d5 | 100070b7e413c7d6 | 100070b7e413c900 | 100070b7e413c901 | 100070b7e413cf76 | 100070b7e413cf8a | 100070b7e413cfa2 | 100070b7e413cfa3","mv_cbprdrac03_os; mv_cbprdrac_3_hg2_pg3; mv_cbprdrac_4_hg2_pg4","sg_cbprdrac03_os; sg_cbprdrac_3; sg_cbprdrac_4"
"Istanbul","000220201231","ig_fbprdesx89","VMware ESX","0","100070b7e420f537 | 100070b7e420f569","mv_fbprdesx_gk","sg_fbprdesx_gk"
"Istanbul","000220201231","ig_fbprdesx86","VMware ESX","0","100070b7e4241276 | 100070b7e42414b7","mv_fbprdesx_gk","sg_fbprdesx_gk"
"Istanbul","000220201231","ig_cbtstrac02","Unknown","0.01","2100f4c7aa050ce0 | 2100f4c7aa050ce1 | 2100f4c7aa05106e | 2100f4c7aa05106f","mv_cbtstrac_vote","sg_cbtstrac_vote"
"Istanbul","000220201231","ig_cbtstrac04","VMware ESX","0.01","c05076010f26014e | c05076010f26014f | c05076010f260150 | c05076010f260151 | c05076010f260152 | c05076010f260153 | c05076010f260154 | c05076010f260155 | c050760435a00692 | c050760435a00693 | c050760435a00694 | c050760435a00695 | c050760435a00696 | c050760435a00697 | c050760435a00698 | c050760435a00699","mv_cbtstrac_vote","sg_cbtstrac_vote"
"Istanbul","000220201231","ig_fbprdesx43","VMware ESX","0","10009440c9d07cd8 | 10009440c9d09c24","mv_fbprdesx_gk","sg_fbprdesx_gk"
"Istanbul","000220201231","ig_fbprdesx88","VMware ESX","0","100070b7e420f4ee | 100070b7e42411e4","mv_fbprdesx_gk","sg_fbprdesx_gk"
"Istanbul","000220201231","cbprdrac03_ig1","AIX","51.82","100070b7e413cd3c | 100070b7e413cd3d | 100070b7e413cf75 | 100070b7e413cf87 | 100070b7e413cf88 | 100070b7e413cf8b | 100070b7e413cf8d | 100070b7e413cf8e","mv_cbprdrac_1_hg1_pg1; mv_cbprdrac_2_hg1_pg2; mv_cbprdrac_os_shared","sg_cbprdrac_1; sg_cbprdrac_2; sg_cbprdrac_os_shared"
"Istanbul","000220201231","ig_cbtstrac03","VMware ESX","0.01","c05076010f5d016a | c05076010f5d016b | c05076010f5d016c | c05076010f5d016d | c05076010f5d016e | c05076010f5d016f | c05076010f5d0170 | c05076010f5d0171 | c05076010f5d01ae | c05076010f5d01af | c05076010f5d01b0 | c05076010f5d01b1 | c05076010f5d01b2 | c05076010f5d01b3 | c05076010f5d01b4 | c05076010f5d01b5","mv_cbtstrac_vote","sg_cbtstrac_vote"
"Istanbul","000220201231","ig_cbtstrac01","Unknown","0.01","2100f4c7aa05116a | 2100f4c7aa05116b | 2100f4c7aa052316 | 2100f4c7aa052317","mv_cbtstrac_vote","sg_cbtstrac_vote"
"Istanbul","000220201231","ig_fbprdesx40","VMware ESX","0","51402ec01484291a | 51402ec01484292a","mv_fbprdesx_gk","sg_fbprdesx_gk"
"Istanbul","000220201231","cbprdrac04_ig1","AIX","53.39","2100f4c7aa050483 | 2100f4c7aa0504a2 | 2100f4c7aa0504a3 | 2100f4c7aa0504b8 | 2100f4c7aa051381 | 2100f4c7aa05d242 | 2100f4c7aa05d243 | 2100f4c7aa05d2f6","mv_cbprdrac04_os; mv_cbprdrac_1_hg1_pg1; mv_cbprdrac_2_hg1_pg2; mv_cbprdrac_os_shared","sg_cbprdrac04_os; sg_cbprdrac_1; sg_cbprdrac_2; sg_cbprdrac_os_shared"
