"HostName","Location"
"BTDRCLX40","HUAWEI-002-SOL5"
"BTDRCLX41","HUAWEI-002-SOL5"
"BTDRCLX42","HUAWEI-002-SOL5"
"BTDRCLX43","HUAWEI-002-SOL5"
"BTDRCLX44","HUAWEI-002-SOL5"
"BTDRCLX45","HUAWEI-002-SOL5"
"BTDRCLX46","HUAWEI-002-SOL5"
"BTDRCLX47","HUAWEI-002-SOL5"
"BTDRCLX48","HUAWEI-002-SOL5"
"BTDRCLX49","HUAWEI-002-SOL5"
"BTDRCLX50","HUAWEI-002-SOL5"
"BTDRCLX51","HUAWEI-002-SOL5"
"BTDRCLX52","HUAWEI-002-SOL5"
"BTDRCLX53","HUAWEI-002-SOL5"
"BTDRCLX54","HUAWEI-002-SOL5"
"BTDRCLX55","HUAWEI-002-SOL5"
"BTDRCLX56","HUAWEI-002-SOL5"
"BTDRCLX57","HUAWEI-002-SOL5"
"BTDRCLX58","HUAWEI-002-SOL5"
"BTDRCLX59","HUAWEI-002-SOL5"
"BTDRCLX60","HUAWEI-002-SOL5"
"BTDRCLX61","HUAWEI-002-SOL5"
"BTDRCLX62","HUAWEI-002-SOL5"
"BTDRCLX63","HUAWEI-002-SOL5"
"BTDRCLX64","HUAWEI-002-SOL5"
"BTDRCLX65","HUAWEI-002-SOL5"
"BTDRCLX66","HUAWEI-002-SOL5"
"BTDRCLX67","HUAWEI-002-SOL5"
"BTDRCLX68","HUAWEI-002-SOL5"
"BTDRCLX69","HUAWEI-002-SOL5"
"BTDRCLX70","HUAWEI-002-SOL5"
"BTDRCLX71","HUAWEI-002-SOL5"
"BTDRCLX72","HUAWEI-002-SOL5"
"BTDRCLX73","HUAWEI-002-SOL5"
"SFDDRCVM01","HUAWEI-002-SOL5"
"SFDDRCVM02","HUAWEI-002-SOL5"
"SFDDRCVM03","HUAWEI-002-SOL5"
"SFDDRCVM04","HUAWEI-002-SOL5"
"SFDDRCVM05","HUAWEI-002-SOL5"
"SFDDRCVM06","HUAWEI-002-SOL5"
"SFDDRCVM07","HUAWEI-002-SOL5"
"SFDDRCVM08","HUAWEI-002-SOL5"
"KFTDRCRAC01","HUAWEI-002-SOL5"
"KFTDRCRAC02","HUAWEI-002-SOL5"
"OCMDRCRAC01","HUAWEI-002-SOL5"
"OCMDRCRAC02","HUAWEI-002-SOL5"
"CFRDRCRAC01","HUAWEI-002-SOL5"
"CFRDRCRAC02","HUAWEI-002-SOL5"
"BNXMCMTSTRAC51","HUAWEI-002-SOL5"
"BNXMCMTSTRAC52","HUAWEI-002-SOL5"
"BNXSESPRDCLN01","HUAWEI-002-SOL5"
"ESRDRCCLN09","HUAWEI-002-SOL5"
"BNXGSCTSTRAC51","HUAWEI-002-SOL5"
"BNXGSCTSTRAC52","HUAWEI-002-SOL5"
"CBTSTKPS51","HUAWEI-002-SOL5"
"BACKUPDRC5250-01","HUAWEI-002-SOL5"
"EVADRCRAC01","HUAWEI-002-SOL5"
"EVADRCRAC02","HUAWEI-002-SOL5"
"CBTSTRAC97","HUAWEI-002-SOL5"
"CBTSTRAC98","HUAWEI-002-SOL5"
"FBDRCVM_1","HUAWEI-002-SOL5"
"FBDRCVM_2","HUAWEI-002-SOL5"
"FBDRCVM_3","HUAWEI-002-SOL5"
"FBDRCVM_4","HUAWEI-002-SOL5"
"FBDRCVM_5","HUAWEI-002-SOL5"
"CBDRCLX01","HUAWEI-002-SOL5"
"CBDRCLX02","HUAWEI-002-SOL5"
"CBDRCLX03","HUAWEI-002-SOL5"
"CBDRCLX04","HUAWEI-002-SOL5"
"CBDRCLX05","HUAWEI-002-SOL5"
"CBDRCLX06","HUAWEI-002-SOL5"
"CBDRCLX07","HUAWEI-002-SOL5"
"CBDRCLX08","HUAWEI-002-SOL5"
"YNDRCCLN03","HUAWEI-002-SOL5"
"ESRDRCCLN13","HUAWEI-002-SOL5"
"ESRDRCCLN11","HUAWEI-002-SOL5"
"ANSIBLE_TEST","HUAWEI-002-SOL5"
"CLWTSTDEVGPU5103","HUAWEI-002-SOL5"
"SEATSTRAC52","HUAWEI-002-SOL5"
"SEATSTRAC51","HUAWEI-002-SOL5"
"SEADRCRAC01","HUAWEI-002-SOL5"
"SEADRCRAC02","HUAWEI-002-SOL5"
"YTSDRCRES01","HUAWEI-002-SOL5"
"SWTSTMGW51","HUAWEI-001-SOL5"
"BNXALGTSTDB51","HUAWEI-001-SOL5"
"KFTDRCRAC01","HUAWEI-001-SOL5"
"KFTDRCRAC02","HUAWEI-001-SOL5"
"OCMDRCRAC01","HUAWEI-001-SOL5"
"OCMDRCRAC02","HUAWEI-001-SOL5"
"CFRDRCRAC01","HUAWEI-001-SOL5"
"CFRDRCRAC02","HUAWEI-001-SOL5"
"LSXDRCESX02","HUAWEI-001-SOL5"
"LSXDRCESX01","HUAWEI-001-SOL5"
"BNXCBSPOCAPP51","HUAWEI-001-SOL5"
"BNXCBSPOCAPP52","HUAWEI-001-SOL5"
"BNXCBSPOCAPP53","HUAWEI-001-SOL5"
"BNXCBSPOCAPP54","HUAWEI-001-SOL5"
"ALODRCKFK58","HUAWEI-001-SOL5"
"ALODRCKFK59","HUAWEI-001-SOL5"
"ALODRCKFK60","HUAWEI-001-SOL5"
"ALODRCKFK51","HUAWEI-001-SOL5"
"ALODRCKFK52","HUAWEI-001-SOL5"
"ALODRCKFK53","HUAWEI-001-SOL5"
"ALODRCKFK54","HUAWEI-001-SOL5"
"ALODRCKFK55","HUAWEI-001-SOL5"
"ALODRCKFK56","HUAWEI-001-SOL5"
"ALODRCKFK57","HUAWEI-001-SOL5"
"CLESXDRCGEN0201","HUAWEI-001-SOL5"
"CLESXDRCGEN0202","HUAWEI-001-SOL5"
"CLESXDRCGEN0203","HUAWEI-001-SOL5"
"CLESXDRCGEN0204","HUAWEI-001-SOL5"
"CLESXDRCGEN0205","HUAWEI-001-SOL5"
"CLESXDRCGEN0206","HUAWEI-001-SOL5"
"EBSTSTDB51","HUAWEI-001-SOL5"
"EBSTSTAPP51","HUAWEI-001-SOL5"
"CLWDRCGENGPU1101","HUAWEI-001-SOL5"
"SFDDRCRAC03","HUAWEI-001-SOL5"
"SFDDRCRAC04","HUAWEI-001-SOL5"
"LSXPRDRAC91","HUAWEI-001-SOL5"
"LSXPRDRAC92","HUAWEI-001-SOL5"
"HCEDRCDB01","HUAWEI-001-SOL5"
"LSXDRCLX01","HUAWEI-001-SOL5"
"LSXDRCLX02","HUAWEI-001-SOL5"
"CBTSTRAC91","HUAWEI-001-SOL5"
