"Lokasyon","Kabin_Adi","Host_Name","Host_Group","Protocol","IQN_WWN"
"ISTANBUL","PURE_005","FEPRDVM08","HG-FEPRDVM-UNIX","FC","51402EC001CB3B72;51402EC001CB3CC2"
"ISTANBUL","PURE_005","ELKPRDDAT13","None","FC","100070B7E4241115;100070B7E42411CD"
"ISTANBUL","PURE_005","INSTAPRDAPP02","None","FC","100070B7E42410F9;100070B7E42411B8"
"ISTANBUL","PURE_005","ALOPRDKFK18","None","FC","100070B7E4241076;100070B7E4241103"
"ISTANBUL","PURE_005","ALOPRDKFK19","None","FC","100070B7E4240FAE;100070B7E424100A"
"ISTANBUL","PURE_005","SEATSTRAC01","SEATSTRAC","FC","C050760C116A006A;C050760C116A006B;C050760C116A006C;C050760C116A006D;C050760C116A006E;C050760C116A006F;C050760C116A0070;C050760C116A0071;C050760C116A0072;C050760C116A0073;C050760C116A0074;C050760C116A0075;C050760C116A0076;C050760C116A0077;C050760C116A0078;C050760C116A0079"
"ISTANBUL","PURE_005","SEATSTRAC02","SEATSTRAC","FC","C050760C116C0092;C050760C116C0093;C050760C116C0094;C050760C116C0095;C050760C116C0096;C050760C116C0097;C050760C116C0098;C050760C116C0099;C050760C116C009A;C050760C116C009B;C050760C116C009C;C050760C116C009D;C050760C116C009E;C050760C116C009F;C050760C116C00A0;C050760C116C00A1"
"ISTANBUL","PURE_005","FEPRDVM05","HG-FEPRDVM-UNIX","FC","100070B7E42285A0;100070B7E42285BD"
"ISTANBUL","PURE_005","FEPRDVM06","HG-FEPRDVM-UNIX","FC","100070B7E42412A5;100070B7E4241349"
"ISTANBUL","PURE_005","PSPRDESX31","PSPRDESX","FC","100070B7E4241360;100070B7E4241361;100070B7E4241366;100070B7E4241367"
"ISTANBUL","PURE_005","FBPRDESX90","FBPRDESX-SQL","FC","100070B7E420F299;100070B7E420F29A;100070B7E420F51B;100070B7E420F51C"
"ISTANBUL","PURE_005","FBPRDESX91","FBPRDESX-SQL","FC","100070B7E420F454;100070B7E420F455;100070B7E424145A;100070B7E424145B"
"ISTANBUL","PURE_005","FBPRDESX94","FBPRDESX-SQL","FC","100070B7E424152D;100070B7E424152E;100070B7E42415C9;100070B7E42415CA"
"ISTANBUL","PURE_005","FBPRDESX95","FBPRDESX-SQL","FC","100070B7E424157E;100070B7E424157F;100070B7E42415BA;100070B7E42415BB"
"ISTANBUL","PURE_005","FBPRDESX96","FBPRDESX-SQL","FC","100070B7E42415AB;100070B7E42415AC;100070B7E42415B7;100070B7E42415B8"
"ISTANBUL","PURE_005","PSPRDESX23","PSPRDESX","FC","100000109BDDE93F;100000109BDDEB18"
"ISTANBUL","PURE_005","PSPRDESX24","PSPRDESX","FC","100000109BDDEAEA;100000109BDDEB66"
"ISTANBUL","PURE_005","PSPRDESX30","PSPRDESX","FC","100070B7E424138D;100070B7E424138E;100070B7E424154E;100070B7E424154F"
"ISTANBUL","PURE_005","PSPRDESX32","PSPRDESX","FC","100070B7E4241515;100070B7E4241516;100070B7E4241557;100070B7E4241558"
"ISTANBUL","PURE_005","PSPRDESX27","PSPRDESX","FC","100000109BDDE961;100000109BDDEB13"
"ISTANBUL","PURE_005","PSPRDESX33","PSPRDESX","FC","100070B7E424151E;100070B7E4241563"
"ISTANBUL","PURE_005","PSPRDESX28","PSTSTESX","FC","51402EC014864154;51402EC014864198"
"ISTANBUL","PURE_005","PSPRDESX29","PSTSTESX","FC","51402EC0148641A4;51402EC0148641AC"
"ISTANBUL","PURE_005","PURE-AO37-07B:STOTSTAPP03","None","FC","10009440C9D03799;10009440C9D0379A;10009440C9D06CB7;10009440C9D06CB8;10009440C9D07CA5;10009440C9D07CA6;10009440C9D0F681;10009440C9D0F682"
"ISTANBUL","PURE_005","PURE-AO37-07B:FEPRDVM02","PURE-AO37-07B:HG-FEPRDVM-UNIX","FC","10001C98EC09DB12;10001C98EC09EB26"
"ISTANBUL","PURE_005","PURE-AO37-07B:FEPRDVM03","PURE-AO37-07B:HG-FEPRDVM-UNIX","FC","51402EC012CB7ED8;51402EC012CB8CDC"
"ISTANBUL","PURE_005","PURE-AO37-07B:FEPRDVM04","PURE-AO37-07B:HG-FEPRDVM-UNIX","FC","51402EC012CB817C;51402EC012CB8564"
