"Lokasyon","Fabric","SwitchName","PortIndex","Slot","Port","Speed","State","Role","PortWWN","Alias","EncOut","CRC","DiscC3","DiscC3Level","SFP"
"Istanbul","A","AI18FC187","319","6","31","32G","Online","Host","10:00:94:40:c9:d0:96:5a","Emulex PPN-10:00:94:40:C9:D0:96:5A",,,"0","",""
"Istanbul","A","AI18FC187","320","6","32","32G","Online","Host","21:00:f4:c7:aa:05:d2:dc","",,,"0","",""
"Istanbul","A","AI18FC187","321","6","33","32G","Online","Host",,"",,,"80","alarm",""
"Istanbul","A","AI18FC187","322","6","34","64G","Online","Storage","52:4a:93:77:8a:df:89:09","",,,"0","",""
"Istanbul","A","AI18FC187","323","6","35","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","324","6","36","16G","Online","Host","51:40:2e:c0:15:52:32:3a","",,,"0","",""
"Istanbul","A","AI18FC187","325","6","37","32G","Online","Host","21:00:f4:c7:aa:05:d1:8f","",,,"0","",""
"Istanbul","A","AI18FC187","326","6","38","32G","Online","Host","10:00:94:40:c9:cf:41:ba","Emulex PPN-10:00:94:40:c9:cf:41:ba",,,"0","",""
"Istanbul","A","AI18FC187","327","6","39","32G","Online","Host","10:00:94:40:c9:d0:4b:3a","7",,,"0","",""
"Istanbul","A","AI18FC187","328","6","40","64G","No_Light","Free",,"",,,"0","",""
"Istanbul","A","AI18FC187","329","6","41","32G","Online","Host","10:00:00:62:0b:43:5c:36","Emulex PPN-10:00:00:62:0B:43:5C:36",,,"0","",""
"Istanbul","A","AI18FC187","330","6","42","16G","Online","Host","51:40:2e:c0:12:cc:ea:d2","SN1100Q FW:v9.15.05 DVR:v10.02.09.100-k",,,"0","",""
"Istanbul","A","AI18FC187","331","6","43","16G","Online","Host","51:40:2e:c0:12:3f:cc:e8","QLogic Port0 WWPN 51:40:2e:c0:12:3f:cc:e8.......................",,,"0","",""
"Istanbul","A","AI18FC187","332","6","44","64G","Online","Storage","52:4a:93:77:8a:df:89:82","",,,"0","",""
"Istanbul","A","AI18FC187","333","6","45","16G","Online","Host","51:40:2e:c0:14:84:45:d8","QLogic Port0 WWPN 51:40:2e:c0:14:84:45:d8.......................",,,"0","",""
"Istanbul","A","AI18FC187","334","6","46","32G","Online","Host","28:b2:a8:d4:e0:5d:d4:d4","",,,"0","",""
